,w1,condition
0,wet,word
1,wary,word
2,slow,word
3,odd,word
4,apt,word
5,bare,word
6,fast,word
7,lax,word
8,body,word
9,chin,word
10,mat,word
11,limb,word
12,ball,word
13,girl,word
14,year,word
15,womb,word
16,foxy,word
17,our,word
18,damp,word
19,true,word
20,dark,word
21,slim,word
22,some,word
23,long,word
24,pint,word
25,wing,word
26,lion,word
27,wall,word
28,clay,word
29,area,word
30,vjtk,non-word
31,wjgk,non-word
32,xjgk,non-word
33,jvzk,non-word
34,xkvj,non-word
35,pvzk,non-word
36,qvmk,non-word
37,tkqv,non-word
38,fkmv,non-word
39,tjxk,non-word
40,hkmv,non-word
41,fkxj,non-word
42,sjqk,non-word
43,qksj,non-word
44,fkvj,non-word
45,vkjv,non-word
46,zmqv,non-word
47,vjgk,non-word
48,xjtk,non-word
49,zjmv,non-word
50,pvkk,non-word
51,kkqv,non-word
52,qvxj,non-word
53,xkzj,non-word
54,bkxj,non-word
55,zkjv,non-word
56,bkjv,non-word
57,hkwj,non-word
58,jktj,non-word
59,kkwj,non-word
