,w1,w2,condition,subtype,w1_type,w2_type
0,his,city,phrase,even,word,word
1,raw,coin,phrase,even,word,word
2,apt,toad,phrase,even,word,word
3,odd,girl,phrase,even,word,word
4,dry,limb,phrase,even,word,word
5,bad,moon,phrase,even,word,word
6,big,page,phrase,even,word,word
7,wet,pill,phrase,even,word,word
8,icy,sock,phrase,even,word,word
9,old,town,phrase,even,word,word
10,sly,womb,phrase,even,word,word
11,lax,zone,phrase,even,word,word
12,cold,ash,phrase,even,word,word
13,vast,bay,phrase,even,word,word
14,hard,cow,phrase,even,word,word
15,that,ear,phrase,even,word,word
16,avid,fig,phrase,even,word,word
17,pink,fog,phrase,even,word,word
18,rich,gum,phrase,even,word,word
19,pure,ink,phrase,even,word,word
20,worn,mat,phrase,even,word,word
21,slow,oak,phrase,even,word,word
22,weak,pen,phrase,even,word,word
23,tall,van,phrase,even,word,word
24,fair,army,phrase,even,word,word
25,cool,aunt,phrase,even,word,word
26,easy,ball,phrase,even,word,word
27,next,beak,phrase,even,word,word
28,each,beer,phrase,even,word,word
29,loud,body,phrase,even,word,word
30,lame,bowl,phrase,even,word,word
31,same,chin,phrase,even,word,word
32,high,clot,phrase,even,word,word
33,meek,disk,phrase,even,word,word
34,lone,door,phrase,even,word,word
35,calm,omen,phrase,even,word,word
36,mute,foot,phrase,even,word,word
37,wary,game,phrase,even,word,word
38,dual,hall,phrase,even,word,word
39,main,hour,phrase,even,word,word
40,teal,king,phrase,even,word,word
41,dull,knob,phrase,even,word,word
42,sure,leaf,phrase,even,word,word
43,wide,lobe,phrase,even,word,word
44,warm,lung,phrase,even,word,word
45,sour,monk,phrase,even,word,word
46,dead,oven,phrase,even,word,word
47,real,pine,phrase,even,word,word
48,oily,poem,phrase,even,word,word
49,holy,rice,phrase,even,word,word
50,blue,role,phrase,even,word,word
51,good,sign,phrase,even,word,word
52,rosy,sofa,phrase,even,word,word
53,wavy,soup,phrase,even,word,word
54,grim,term,phrase,even,word,word
55,posh,tomb,phrase,even,word,word
56,fast,unit,phrase,even,word,word
57,bare,wine,phrase,even,word,word
58,fake,wolf,phrase,even,word,word
59,dumb,year,phrase,even,word,word
60,bird,low,non-phrase,even,word,word
61,clue,sad,non-phrase,even,word,word
62,crab,shy,non-phrase,even,word,word
63,drum,ill,non-phrase,even,word,word
64,lamp,any,non-phrase,even,word,word
65,luck,mad,non-phrase,even,word,word
66,neck,wry,non-phrase,even,word,word
67,pawn,the,non-phrase,even,word,word
68,road,hot,non-phrase,even,word,word
69,crow,her,non-phrase,even,word,word
70,wall,our,non-phrase,even,word,word
71,wool,new,non-phrase,even,word,word
72,ant,dear,non-phrase,even,word,word
73,bat,sick,non-phrase,even,word,word
74,bud,pale,non-phrase,even,word,word
75,dew,soft,non-phrase,even,word,word
76,egg,full,non-phrase,even,word,word
77,fin,gray,non-phrase,even,word,word
78,god,safe,non-phrase,even,word,word
79,hen,mild,non-phrase,even,word,word
80,lip,rude,non-phrase,even,word,word
81,mug,firm,non-phrase,even,word,word
82,owl,such,non-phrase,even,word,word
83,tub,huge,non-phrase,even,word,word
84,area,neat,non-phrase,even,word,word
85,atom,long,non-phrase,even,word,word
86,baby,cosy,non-phrase,even,word,word
87,barn,foxy,non-phrase,even,word,word
88,bean,lone,non-phrase,even,word,word
89,bell,rare,non-phrase,even,word,word
90,boss,mere,non-phrase,even,word,word
91,cell,keen,non-phrase,even,word,word
92,clay,some,non-phrase,even,word,word
93,desk,wise,non-phrase,even,word,word
94,doll,wild,non-phrase,even,word,word
95,edge,bold,non-phrase,even,word,word
96,fate,lazy,non-phrase,even,word,word
97,frog,lush,non-phrase,even,word,word
98,hair,much,non-phrase,even,word,word
99,hill,kind,non-phrase,even,word,word
100,isle,deep,non-phrase,even,word,word
101,kiwi,sane,non-phrase,even,word,word
102,lake,nice,non-phrase,even,word,word
103,lion,your,non-phrase,even,word,word
104,lord,this,non-phrase,even,word,word
105,meat,busy,non-phrase,even,word,word
106,myth,damp,non-phrase,even,word,word
107,path,cute,non-phrase,even,word,word
108,pint,ripe,non-phrase,even,word,word
109,pond,iffy,non-phrase,even,word,word
110,ring,idle,non-phrase,even,word,word
111,roof,dark,non-phrase,even,word,word
112,soap,true,non-phrase,even,word,word
113,soul,tidy,non-phrase,even,word,word
114,team,bald,non-phrase,even,word,word
115,time,best,non-phrase,even,word,word
116,tree,poor,non-phrase,even,word,word
117,wife,tiny,non-phrase,even,word,word
118,wing,slim,non-phrase,even,word,word
119,word,thin,non-phrase,even,word,word
120,pink,mvxj,non-word,even,word,non-word
121,kind,zkqv,non-word,even,word,non-word
122,zjpv,pond,non-word,even,non-word,word
123,wjvk,rare,non-word,even,non-word,word
124,wjvk,loud,non-word,even,non-word,word
125,ant,tkwj,non-word,even,word,non-word
126,raw,zkqv,non-word,even,word,non-word
127,bksj,drum,non-word,even,non-word,word
128,pvtk,crab,non-word,even,non-word,word
129,tomb,kkvj,non-word,even,word,non-word
130,his,jvgk,non-word,even,word,non-word
131,xkqv,disk,non-word,even,non-word,word
132,lake,vjmk,non-word,even,word,non-word
133,teal,vjbk,non-word,even,word,non-word
134,qktj,monk,non-word,even,non-word,word
135,tkwj,omen,non-word,even,non-word,word
136,mvzk,the,non-word,even,non-word,word
137,lip,sjkv,non-word,even,word,non-word
138,oven,hkzj,non-word,even,word,non-word
139,qvtj,rich,non-word,even,non-word,word
140,kkzj,clue,non-word,even,non-word,word
141,kvjk,wise,non-word,even,non-word,word
142,pvtk,beer,non-word,even,non-word,word
143,ear,vjmk,non-word,even,word,non-word
144,qvzk,easy,non-word,even,non-word,word
145,mksj,team,non-word,even,non-word,word
146,avid,mkqv,non-word,even,word,non-word
147,mvzm,rosy,non-word,even,non-word,word
148,wry,mvxj,non-word,even,word,non-word
149,mksj,wolf,non-word,even,non-word,word
150,vjbk,ripe,non-word,even,non-word,word
151,mvzk,icy,non-word,even,non-word,word
152,xkqv,atom,non-word,even,non-word,word
153,myth,zmjv,non-word,even,word,non-word
154,jvgk,safe,non-word,even,non-word,word
155,shy,mvzm,non-word,even,word,non-word
156,busy,tjkk,non-word,even,word,non-word
157,sjmv,tiny,non-word,even,non-word,word
158,neck,hkzj,non-word,even,word,non-word
159,soup,kkzj,non-word,even,word,non-word
160,sjkv,hall,non-word,even,non-word,word
161,mkqv,full,non-word,even,non-word,word
162,much,qkwj,non-word,even,word,non-word
163,tkxj,hair,non-word,even,non-word,word
164,low,qvtj,non-word,even,word,non-word
165,zjpv,poem,non-word,even,non-word,word
166,owl,qktj,non-word,even,word,non-word
167,sick,qvzk,non-word,even,word,non-word
168,sofa,bksj,non-word,even,word,non-word
169,jkzm,bold,non-word,even,non-word,word
170,sly,tjkk,non-word,even,word,non-word
171,knob,xjbk,non-word,even,word,non-word
172,vast,kvjk,non-word,even,word,non-word
173,tkxj,beak,non-word,even,non-word,word
174,lone,sjmv,non-word,even,word,non-word
175,bat,kkvj,non-word,even,word,non-word
176,mug,xjbk,non-word,even,word,non-word
177,cool,jkzm,non-word,even,word,non-word
178,qkwj,each,non-word,even,non-word,word
179,zmjv,pen,non-word,even,non-word,word
