,w1,condition
0,tiny,word
1,neat,word
2,ill,word
3,her,word
4,true,word
5,ripe,word
6,lush,word
7,wry,word
8,atom,word
9,road,word
10,bird,word
11,owl,word
12,egg,word
13,lip,word
14,wool,word
15,luck,word
16,tall,word
17,dead,word
18,raw,word
19,slow,word
20,sure,word
21,each,word
22,that,word
23,same,word
24,leaf,word
25,ink,word
26,bay,word
27,lung,word
28,hall,word
29,ball,word
30,kkwj,non-word
31,bksj,non-word
32,zkxj,non-word
33,jkwj,non-word
34,bkjv,non-word
35,jktj,non-word
36,sjmv,non-word
37,mktj,non-word
38,kkvj,non-word
39,tjkk,non-word
40,mvxj,non-word
41,qvtj,non-word
42,qksj,non-word
43,mvzk,non-word
44,hkzj,non-word
45,xkwj,non-word
46,fkmv,non-word
47,hkjv,non-word
48,vjmk,non-word
49,vkwj,non-word
50,vjgk,non-word
51,fkxj,non-word
52,jvbk,non-word
53,mvzm,non-word
54,bkxj,non-word
55,mkxj,non-word
56,zkjv,non-word
57,kvzj,non-word
58,mvhk,non-word
59,tkwj,non-word
