,w1,condition
0,hands,word
1,white,word
2,dogs,word
3,gray,word
4,net,word
5,doors,word
6,war,word
7,boy,word
8,way,word
9,fact,word
10,year,word
11,blue,word
12,while,word
13,eye,word
14,gas,word
15,best,word
16,bit,word
17,soft,word
18,legal,word
19,skin,word
20,some,word
21,black,word
22,hind,word
23,worth,word
24,moral,word
25,true,word
26,voice,word
27,armed,word
28,worst,word
29,wry,word
30,pvsj,non-word
31,sjmv,non-word
32,vkwj,non-word
33,vkzj,non-word
34,qvmk,non-word
35,mkxj,non-word
36,xjgk,non-word
37,xkzj,non-word
38,vkzm,non-word
39,qkzm,non-word
40,zjvk,non-word
41,mvxj,non-word
42,bkjv,non-word
43,jksj,non-word
44,gksj,non-word
45,tkqv,non-word
46,fkzj,non-word
47,xkwj,non-word
48,hkmv,non-word
49,kkvj,non-word
50,jkzm,non-word
51,kvzk,non-word
52,zjmv,non-word
53,zkjv,non-word
54,zmtk,non-word
55,pvzk,non-word
56,vjgk,non-word
57,mvhk,non-word
58,tjzm,non-word
59,mktj,non-word
