,state_number,key,key_number,value,tag
0,1,word2.opacity,0,0,5
1,1,word2.opacity,1,1,11
2,1,word2.opacity,2,0,17
3,1,word2.opacity,3,1,23
4,1,word2.opacity,4,0,29
5,1,word2.opacity,5,1,35
6,1,word2.opacity,6,0,41
7,1,word2.opacity,7,1,47
8,1,word2.opacity,8,0,53
9,1,word2.opacity,9,1,59
10,1,word2.opacity,10,0,65
11,1,word2.opacity,11,1,71
12,1,word2.opacity,12,0,77
13,1,word2.opacity,13,1,83
14,1,word2.opacity,14,0,89
15,1,word2.opacity,15,1,95
16,1,word2.opacity,16,0,101
17,1,word2.opacity,17,1,107
18,1,word2.opacity,18,0,113
19,1,word2.opacity,19,1,119
20,1,word2.opacity,20,0,125
21,1,word2.opacity,21,1,131
22,1,word2.opacity,22,0,137
23,1,word2.opacity,23,1,143
24,1,word2.opacity,24,0,149
25,1,word2.opacity,25,1,155
26,1,word2.opacity,26,0,161
27,1,word2.opacity,27,1,167
28,1,word2.opacity,28,0,173
29,1,word2.opacity,29,1,179
30,1,word2.opacity,30,0,185
31,1,word2.opacity,31,1,191
32,1,word2.opacity,32,0,197
33,1,word2.opacity,33,1,203
34,1,word2.opacity,34,0,209
35,1,word2.opacity,35,1,215
36,1,word2.opacity,36,0,221
37,1,word2.opacity,37,1,227
38,1,word2.opacity,38,0,233
39,1,word2.opacity,39,1,239
40,1,word2.opacity,40,0,245
41,1,word2.opacity,41,1,251
42,1,word2.opacity,42,0,257
43,1,word2.opacity,43,1,263
44,1,word2.opacity,44,0,269
45,1,word2.opacity,45,1,275
46,1,word2.opacity,46,0,281
47,1,word2.opacity,47,1,287
48,1,word2.opacity,48,0,293
49,1,word2.opacity,49,1,299
50,1,word2.opacity,50,0,305
51,1,word2.opacity,51,1,311
52,1,word2.opacity,52,0,317
53,1,word2.opacity,53,1,323
54,1,word2.opacity,54,0,329
55,1,word2.opacity,55,1,335
56,1,word2.opacity,56,0,341
57,1,word2.opacity,57,1,347
58,1,word2.opacity,58,0,353
59,1,word2.opacity,59,1,359
60,1,word2.opacity,60,0,365
61,1,word2.opacity,61,1,371
62,1,word2.opacity,62,0,377
63,1,word2.opacity,63,1,383
64,1,word2.opacity,64,0,389
65,1,word2.opacity,65,1,395
66,1,word2.opacity,66,0,401
67,1,word2.opacity,67,1,407
68,1,word2.opacity,68,0,413
69,1,word2.opacity,69,1,419
70,1,word2.opacity,70,0,425
71,1,word2.opacity,71,1,431
72,1,word2.opacity,72,0,437
73,1,word2.opacity,73,1,443
74,1,word2.opacity,74,0,449
75,1,word2.opacity,75,1,455
76,1,word2.opacity,76,0,461
77,1,word2.opacity,77,1,467
78,1,word2.opacity,78,0,473
79,1,word2.opacity,79,1,479
80,1,word2.opacity,80,0,485
81,1,word2.opacity,81,1,491
82,1,word2.opacity,82,0,497
83,1,word2.opacity,83,1,503
84,1,word2.opacity,84,0,509
85,1,word2.opacity,85,1,515
86,1,word2.opacity,86,0,521
87,1,word2.opacity,87,1,527
88,1,word2.opacity,88,0,533
89,1,word2.opacity,89,1,539
90,1,word2.opacity,90,0,545
