state_number,start,state_start,state,next_state,target_end,trial_number,end,block_number,block_trial,trial_end,block_end,trigger_time,test_word,truth
0,12.528352737426758,12.517167806625366,fixation,words,14.517167806625366,0,14.508924961090088,0,0,False,False,,,
1,14.525788068771362,14.5255286693573,words,query,35.5255286693573,0,35.5171799659729,0,0,True,,14.536024808883667,,
2,35.52564239501953,35.525388956069946,query,query,37.62538895606995,1,37.6129846572876,0,1,False,False,35.536067724227905,mkqv,False
3,37.61729121208191,37.617050886154175,query,query,39.717050886154176,1,39.70497417449951,0,1,False,False,37.62773108482361,blue,True
4,39.70928382873535,39.70904350280762,query,iti,41.80904350280762,1,41.80082106590271,0,1,False,False,39.719720125198364,pure,False
5,41.815349102020264,41.804858684539795,iti,fixation,42.77522804240402,1,42.763739585876465,0,1,False,False,,,
6,42.7825653553009,42.77197194099426,fixation,words,44.77197194099426,1,44.75955867767334,0,1,False,False,,,
7,44.77227187156677,44.77202582359314,words,query,65.77202582359314,1,65.76368761062622,0,1,True,,44.78273010253906,,
8,65.77211093902588,65.77186727523804,query,query,67.87186727523803,2,67.86362791061401,0,2,False,False,65.78253555297852,jkzm,False
9,67.86799049377441,67.86774802207947,query,query,69.96774802207946,2,69.95945811271667,0,2,False,False,67.87818646430969,high,True
10,69.96379351615906,69.96354627609253,query,query,72.06354627609252,2,72.05199837684631,0,2,False,False,69.97398018836975,pond,False
11,72.0595908164978,72.05934548377991,query,query,74.1593454837799,2,74.15111517906189,0,2,False,False,72.06978464126587,ear,True
12,74.15540361404419,74.15516352653503,query,query,76.25516352653503,2,76.24696397781372,0,2,False,False,74.16559290885925,vkzj,False
13,76.25128364562988,76.25104284286499,query,query,78.35104284286498,2,78.34274744987488,0,2,False,False,76.26170706748962,raw,False
14,78.35125708580017,78.35101342201233,query,iti,80.45101342201232,2,80.44275283813477,0,2,False,False,78.36170482635498,qksj,False
15,80.4573335647583,80.44684505462646,iti,fixation,81.42130262063482,2,81.40938568115234,0,2,False,False,,,
16,81.42829656600952,81.4176754951477,fixation,words,83.4176754951477,2,83.40938305854797,0,2,False,False,,,
17,83.42208337783813,83.42183923721313,words,query,104.42183923721313,2,104.41345453262329,0,2,True,,83.43228340148926,,
18,104.41776514053345,104.41751432418823,query,query,106.51751432418823,3,106.50927901268005,0,3,False,False,104.42794847488403,aunt,False
19,106.51357817649841,106.51333808898926,query,iti,108.61333808898925,3,108.60508728027344,0,3,False,False,106.52399754524231,beak,True
20,108.61966037750244,108.60914516448975,iti,fixation,109.15120689664073,3,109.14256548881531,0,3,False,False,,,
21,109.16142535209656,109.15082883834839,fixation,words,111.15082883834839,3,111.14258885383606,0,3,False,False,,,
22,111.15521955490112,111.15497422218323,words,query,132.15497422218323,3,132.14661955833435,0,3,True,,111.16542363166809,,
23,132.15508389472961,132.15484046936035,query,query,134.25484046936035,4,134.24244379997253,0,4,False,False,132.16551184654236,bare,True
24,134.24675607681274,134.24650692939758,query,query,136.34650692939758,4,136.33409190177917,0,4,False,False,134.25694680213928,mug,False
25,136.33839392662048,136.33815455436707,query,query,138.43815455436706,4,138.42996668815613,0,4,False,False,136.3485848903656,vjmk,False
26,138.4384262561798,138.4381823539734,query,iti,140.53818235397338,4,140.5257294178009,0,4,False,False,138.4488651752472,bkjv,False
27,140.54029965400696,140.5298101902008,iti,fixation,141.24002660485658,4,141.22988629341125,0,4,False,False,,,
28,141.24874711036682,141.23813247680664,fixation,words,143.23813247680664,4,143.2298800945282,0,4,False,False,,,
29,143.24257850646973,143.2423300743103,words,query,164.2423300743103,4,164.2339243888855,0,4,True,,143.25278067588806,,
30,164.2382297515869,164.2379879951477,query,query,166.3379879951477,5,166.32557463645935,0,5,False,False,164.24842882156372,beak,False
31,166.32987809181213,166.32963848114014,query,query,168.42963848114013,5,168.4214084148407,0,5,False,False,166.34006881713867,dull,True
32,168.42992234230042,168.429678440094,query,query,170.529678440094,5,170.521386384964,0,5,False,False,168.440114736557,unit,True
33,170.52570176124573,170.52545309066772,query,query,172.62545309066772,5,172.61720657348633,0,5,False,False,170.53611612319946,hkjv,False
34,172.621506690979,172.62126541137695,query,iti,174.72126541137695,5,174.70890927314758,0,5,False,False,172.63195872306824,firm,False
35,174.72343111038208,174.7129671573639,iti,fixation,175.45362190248912,5,175.44218635559082,0,5,False,False,,,
36,175.46103024482727,175.4504270553589,fixation,words,177.4504270553589,5,177.44222235679626,0,5,False,False,,,
37,177.4548807144165,177.45463585853577,words,query,198.45463585853577,5,198.4462661743164,0,5,True,,177.46511363983154,,
38,198.45472168922424,198.4544689655304,query,query,200.5544689655304,6,200.54202961921692,0,6,False,False,198.46492528915405,zmtk,False
39,200.54633259773254,200.5460922718048,query,query,202.6460922718048,6,202.63783717155457,0,6,False,False,200.55653047561646,sure,True
40,202.64216017723083,202.64192152023315,query,iti,204.74192152023315,6,204.7295002937317,0,6,False,False,202.65259552001953,isle,False
41,204.7440505027771,204.73355889320374,iti,fixation,205.46622909588586,6,205.4544928073883,0,6,False,False,,,
42,205.4733202457428,205.4627285003662,fixation,words,207.4627285003662,6,207.45037841796875,0,6,False,False,,,
43,207.4629828929901,207.46273684501648,words,query,228.46273684501648,6,228.45435738563538,0,6,True,,207.47318029403687,,
44,228.46282863616943,228.46257996559143,query,query,230.56257996559142,7,230.55433773994446,0,7,False,False,228.47325110435486,xjtk,False
45,230.5585663318634,230.55832529067993,query,query,232.65832529067993,7,232.6459813117981,0,7,False,False,230.5687711238861,gktj,True
46,232.6503050327301,232.65006184577942,query,query,234.7500618457794,7,234.7417984008789,0,7,False,False,232.66049981117249,such,True
47,234.74607801437378,234.745836019516,query,iti,236.84583601951599,7,236.83345913887024,0,7,False,False,234.756267786026,tidy,False
48,236.8479962348938,236.83752632141113,iti,fixation,237.36173806607454,7,237.35013055801392,0,7,False,False,,,
49,237.36869978904724,237.35837173461914,fixation,words,239.35837173461914,7,239.35012340545654,0,7,False,False,,,
50,239.3628134727478,239.36256289482117,words,query,260.36256289482117,7,260.35836577415466,0,7,True,,239.37300539016724,,
51,260.3668076992035,260.3665580749512,query,query,262.4665580749512,8,262.454176902771,0,8,False,False,260.3772301673889,mug,False
52,262.4584562778473,262.45821356773376,query,query,264.5582135677338,8,264.5499336719513,0,8,False,False,262.46886920928955,mvzk,False
53,264.5542755126953,264.5540335178375,query,query,266.65403351783755,8,266.64576840400696,0,8,False,False,264.56470346450806,fate,True
54,266.65012383461,266.6498849391937,query,iti,268.74988493919375,8,268.7416498661041,0,8,False,False,266.66031861305237,qvxj,True
