ngram,freq
the U.S.,19640789
chapter 2,4152105
chapter 3,4001572
chapter 4,3823633
chapter 1,3573991
chapter 5,3517067
the 1980s,3436098
the 1970s,3368585
the 1960s,3309048
and 2,3286916
chapter 6,3126669
the 1990s,3085534
and J.,3003946
Table 1,2999032
of 1,2969821
chapter 7,2849470
of U.S.,2814346
and 3,2674609
and M.,2608840
in 2010,2583585
in 2008,2506400
in 2009,2452511
the 1950s,2450948
chapter 8,2371053
of 10,2278025
and A.,2270449
to 1,2230575
of St.,2224211
a 1,2162577
U.S. Department,2127875
and 4,2123542
to 10,2118717
Figure 1,2115961
and R.,2100401
chapter 9,2080964
in 2007,2075933
in 2011,2052271
and 1,2046919
the 1930s,2036927
J. M.,2017722
of 2,2012482
and S.,1967264
in 2012,1920946
and 5,1898820
a 2,1879099
Table 2,1867118
English 1949,1854406
in 2006,1846823
in 2005,1827034
chapter 10,1821210
J. A.,1811213
St. Louis,1781702
of Mr.,1753298
to 5,1751062
and D.,1744638
Figure 2,1709679
of 5,1702294
and Mr.,1699921
CO 2,1693267
and C.,1688667
in 1,1679025
chapter 11,1676606
the 1920s,1672049
to 3,1668527
to 2,1638612
in 2004,1629246
h 2,1619124
x 1,1568776
of 3,1546149
in 2000,1546007
J. and,1542361
in 2013,1539429
to Mr.,1537921
i.e. the,1528277
M. and,1513676
and Mrs.,1512727
Dept. of,1510260
and P.,1502353
and 6,1500199
in 2003,1494723
x 2,1492591
than 1,1469871
and 10,1465180
in U.S.,1464749
U.S. and,1463906
No. I,1441563
to 20,1430512
of 20,1394173
Figure 3,1393930
in 2002,1391303
in 2001,1387809
chapter 12,1385338
A. and,1380900
to 4,1369841
the 21st,1336082
J. C.,1331963
M. A.,1311679
in J.,1310835
in 2014,1308999
a U.S.,1306520
January 1,1304465
than 10,1302742
J. R.,1297535
No. 1,1286298
and G.,1277895
the 20th,1273425
James 1611,1269695
J. L.,1259549
in 1999,1258484
a 10,1252353
a 3,1251925
to 30,1249090
chapter 13,1243293
type 2,1242677
to 6,1242071
for 1,1223376
and B.,1222083
R. A.,1209328
in 1998,1198467
M. J.,1196607
of 100,1192006
and E.,1183832
the 2,1183655
Copyright 2012,1180097
and H.,1177466
about 10,1177009
about 1,1171860
Copyright 2011,1171718
Table 3,1171377
of 4,1167537
in 1990,1163814
R. J.,1161681
in 1997,1153360
the 3,1145971
A. M.,1141160
U.S. government,1140410
the 19th,1137433
in M.,1137087
in 1995,1135754
Figure 4,1133885
in. I,1133825
S. and,1132641
in 2015,1126862
part 1,1123875
for 2,1118380
than 50,1116871
in 1996,1111475
for 10,1110935
the 1,1108627
and T.,1105754
in. The,1100668
in 1994,1097314
a 5,1094163
in 1992,1094041
December 31,1093889
J. P.,1089357
to 100,1079112
J. E.,1076308
of 30,1070420
and 8,1063682
to 50,1059403
U.S. Army,1059089
to 15,1058385
J. D.,1058103
from 1,1048860
R. and,1048658
J. H.,1048322
the 1st,1047680
and L.,1042360
A. J.,1041985
said Mr.,1037128
that Mr.,1035766
in 1991,1034746
for 5,1033057
early 1990s,1031560
part 2,1028022
References 1,1027631
July 1,1027563
chapter 14,1026683
the 5,1026443
and K.,1023911
and 7,1021624
J. S.,1017732
of 6,1017453
the 10,1013705
in R.,999303
type 1,995952
of 15,995399
in 1993,993106
J. W.,991349
R. M.,990286
of 12,987125
of 50,986584
to 12,981888
No. 2,979273
and U.S.,974808
section 2,974337
St. John,974304
on 1,973203
O 2,968652
J. J.,959457
in 2,958116
in 1989,955527
in St.,940822
in A.,933481
C. A.,930992
Figure 5,929005
step 2,928110
D. A.,928093
J. B.,926841
in 1980,922798
than 20,916796
c 1,914955
step 1,914871
D. and,909516
to 8,909337
chapter 15,907353
about 20,904689
section 3,903862
and 20,903047
E. coli,894966
for 3,890076
St. Paul,889892
than 100,888365
for 30,887949
to U.S.,887917
by Mr.,887803
C. The,883167
C. and,877623
in S.,875753
come in.,874408
D. J.,873622
and 12,869397
and W.,867469
n 2,866555
the 1940s,865938
t 1,861768
R. E.,860158
at 1,853719
about 2,853222
than 30,838956
of Dr.,838238
R. L.,837676
P. and,834583
the St.,834376
d 1,832305
with Mr.,831316
¼ 1,828945
M. E.,825927
in. He,825819
in 1970,825505
to 40,822249
is 1,819345
Copyright 2017,819138
in 2016,819115
than 5,819016
S. M.,817988
in D.,816935
a 4,813364
D. M.,812831
of 8,812291
the 2nd,811305
about 5,810311
to Mrs.,805647
of 25,804784
about 30,797079
in 1988,796381
George W.,795309
Inc. v.,795174
in 1979,792290
in 1986,791780
c 2,790454
and 9,779953
A. The,778732
in 1985,775870
P. J.,773178
step 3,772149
Copyright 2013,771809
in 1975,770278
September 11,767668
early 1980s,761969
the 2008,761104
than 2,760907
in 1968,759664
in 1987,756889
Table 4,753053
in 1972,752832
C. M.,752382
Notes 1,750684
and F.,750180
States v.,749200
s 1,749181
M. L.,746225
Figure 6,746171
in C.,743989
and 15,741342
and I.,738879
of Mrs.,737313
L. and,735168
in 1984,734734
J. F.,732918
n 1,732506
section 4,727063
early 1970s,726623
in 1973,721414
in 1960,720875
M. S.,720106
U.S. military,716448
and 30,713101
the 18th,713079
Chapter 16,712345
with 1,712219
the 12,711016
in 1982,709879
a 20,707389
in 1976,706879
of 18,706253
the 4,706103
in 1978,705909
to 25,703480
to 7,701505
D. L.,701019
R. W.,698925
in 1974,698605
G. and,697946
p 1,694877
Copyright 2016,694429
No. 3,694401
in 1965,693231
to 60,693197
S. A.,693043
x 0,691912
the 2010,690843
said Mrs.,689590
R. C.,689368
e.g. the,686708
A. C.,686009
in P.,685897
the 4th,685764
of 40,684822
J. G.,684184
in 1971,682799
in 1967,681114
in 1981,680132
in 1983,679808
at 10,679409
in 1969,679289
M. M.,678994
W. H.,678840
for 20,678372
and Dr.,677862
Copyright 2010,675493
t 0,675485
at St.,675365
or 2,673397
chapter 17,672013
E. and,671779
W. Bush,670483
about 3,670197
in 1948,668779
late 1980s,668106
and N.,667610
R. S.,663603
the 3rd,662059
of 9,661411
in 1964,661126
etc. The,660127
Co. v.,659653
m 2,659606
for 15,659276
M. C.,658374
t 2,658211
r 1,657361
to Dr.,657308
M. R.,656351
W. W.,656175
C. S.,655279
S. J.,648236
in 10,646912
R. D.,645811
H. and,644635
L. A.,643682
from 0,642618
C. J.,641557
U.S. Supreme,640954
in 1977,638597
at 5,637200
June 30,636982
a 50,635938
B. The,635629
P. A.,633867
