,w1,w2,condition,subtype
a,low,bird,phrase,odd
a,sad,clue,phrase,odd
a,shy,crab,phrase,odd
a,ill,drum,phrase,odd
a,any,lamp,phrase,odd
a,mad,luck,phrase,odd
a,wry,neck,phrase,odd
a,the,pawn,phrase,odd
a,hot,road,phrase,odd
a,her,crow,phrase,odd
a,our,wall,phrase,odd
a,new,wool,phrase,odd
a,dear,ant,phrase,odd
a,sick,bat,phrase,odd
a,pale,bud,phrase,odd
a,soft,dew,phrase,odd
a,full,egg,phrase,odd
a,gray,fin,phrase,odd
a,safe,god,phrase,odd
a,mild,hen,phrase,odd
a,rude,lip,phrase,odd
a,firm,mug,phrase,odd
a,such,owl,phrase,odd
a,huge,tub,phrase,odd
a,neat,area,phrase,odd
a,long,atom,phrase,odd
a,cosy,baby,phrase,odd
a,foxy,barn,phrase,odd
a,lone,bean,phrase,odd
a,rare,bell,phrase,odd
a,mere,boss,phrase,odd
a,keen,cell,phrase,odd
a,some,clay,phrase,odd
a,wise,desk,phrase,odd
a,wild,doll,phrase,odd
a,bold,edge,phrase,odd
a,lazy,fate,phrase,odd
a,lush,frog,phrase,odd
a,much,hair,phrase,odd
a,kind,hill,phrase,odd
a,deep,isle,phrase,odd
a,sane,kiwi,phrase,odd
a,nice,lake,phrase,odd
a,your,lion,phrase,odd
a,this,lord,phrase,odd
a,busy,meat,phrase,odd
a,damp,myth,phrase,odd
a,cute,path,phrase,odd
a,ripe,pint,phrase,odd
a,iffy,pond,phrase,odd
a,idle,ring,phrase,odd
a,dark,roof,phrase,odd
a,true,soap,phrase,odd
a,tidy,soul,phrase,odd
a,bald,team,phrase,odd
a,best,time,phrase,odd
a,poor,tree,phrase,odd
a,tiny,wife,phrase,odd
a,slim,wing,phrase,odd
a,thin,word,phrase,odd
b,city,his,non-phrase,odd
b,coin,raw,non-phrase,odd
b,toad,apt,non-phrase,odd
b,girl,odd,non-phrase,odd
b,limb,dry,non-phrase,odd
b,moon,bad,non-phrase,odd
b,page,big,non-phrase,odd
b,pill,wet,non-phrase,odd
b,sock,icy,non-phrase,odd
b,town,old,non-phrase,odd
b,womb,sly,non-phrase,odd
b,zone,lax,non-phrase,odd
b,ash,cold,non-phrase,odd
b,bay,vast,non-phrase,odd
b,cow,hard,non-phrase,odd
b,ear,that,non-phrase,odd
b,fig,avid,non-phrase,odd
b,fog,pink,non-phrase,odd
b,gum,rich,non-phrase,odd
b,ink,pure,non-phrase,odd
b,mat,worn,non-phrase,odd
b,oak,slow,non-phrase,odd
b,pen,weak,non-phrase,odd
b,van,tall,non-phrase,odd
b,army,fair,non-phrase,odd
b,aunt,cool,non-phrase,odd
b,ball,easy,non-phrase,odd
b,beak,next,non-phrase,odd
b,beer,each,non-phrase,odd
b,body,loud,non-phrase,odd
b,bowl,lame,non-phrase,odd
b,chin,same,non-phrase,odd
b,clot,high,non-phrase,odd
b,disk,meek,non-phrase,odd
b,door,lone,non-phrase,odd
b,omen,calm,non-phrase,odd
b,foot,mute,non-phrase,odd
b,game,wary,non-phrase,odd
b,hall,dual,non-phrase,odd
b,hour,main,non-phrase,odd
b,king,teal,non-phrase,odd
b,knob,dull,non-phrase,odd
b,leaf,sure,non-phrase,odd
b,lobe,wide,non-phrase,odd
b,lung,warm,non-phrase,odd
b,monk,sour,non-phrase,odd
b,oven,dead,non-phrase,odd
b,pine,real,non-phrase,odd
b,poem,oily,non-phrase,odd
b,rice,holy,non-phrase,odd
b,role,blue,non-phrase,odd
b,sign,good,non-phrase,odd
b,sofa,rosy,non-phrase,odd
b,soup,wavy,non-phrase,odd
b,term,grim,non-phrase,odd
b,tomb,posh,non-phrase,odd
b,unit,fast,non-phrase,odd
b,wine,bare,non-phrase,odd
b,wolf,fake,non-phrase,odd
b,year,dumb,non-phrase,odd
