,w1_len,w2_len,w1_type,w2_type,w1,w2,subtype
0,3,4,noun,cons,nut,jvbk,even
1,3,4,noun,cons,fur,fkvj,even
2,3,4,noun,cons,toe,tjkk,even
3,3,4,noun,cons,rum,hkzj,even
4,3,4,noun,cons,gut,zmjv,even
5,3,4,noun,cons,lid,wjkv,even
6,3,4,cons,noun,kvj,cart,even
7,3,4,cons,noun,gkp,loss,even
8,3,4,cons,noun,pvt,skin,even
9,3,4,cons,noun,qkt,cape,even
10,3,4,cons,noun,bkj,heat,even
11,3,4,cons,noun,kvt,dust,even
12,4,3,noun,cons,pulp,xkz,even
13,4,3,noun,cons,deer,mkt,even
14,4,3,noun,cons,bank,qks,even
15,4,3,noun,cons,wire,xjg,even
16,4,3,noun,cons,vest,vjb,even
17,4,3,noun,cons,math,mks,even
18,4,3,cons,noun,kkzj,tie,even
19,4,3,cons,noun,xkwj,jar,even
20,4,3,cons,noun,jktj,boy,even
21,4,3,cons,noun,sjqk,kit,even
22,4,3,cons,noun,qvxj,fax,even
23,4,3,cons,noun,jvgk,sky,even
24,4,4,noun,cons,city,zkwj,even
25,4,4,noun,cons,name,vkzm,even
26,4,4,noun,cons,exam,pvkk,even
27,4,4,noun,cons,yard,vkjv,even
28,4,4,noun,cons,mole,xjqk,even
29,4,4,noun,cons,oaks,tjzm,even
30,4,4,noun,cons,view,pvzk,even
31,4,4,noun,cons,claw,kkvj,even
32,4,4,noun,cons,bolt,mkqv,even
33,4,4,noun,cons,race,zkqv,even
34,4,4,noun,cons,boat,qvmk,even
35,4,4,noun,cons,alms,bksj,even
36,4,4,noun,cons,need,gktj,even
37,4,4,noun,cons,hail,zjmv,even
38,4,4,noun,cons,year,hkmv,even
39,4,4,noun,cons,hoop,zkxj,even
40,4,4,noun,cons,fray,qvzk,even
41,4,4,noun,cons,prey,qkzm,even
42,4,4,cons,noun,mvzm,vans,even
43,4,4,cons,noun,sjkv,huts,even
44,4,4,cons,noun,tkxj,sink,even
45,4,4,cons,noun,gksj,herd,even
46,4,4,cons,noun,mvzk,salt,even
47,4,4,cons,noun,zkjv,data,even
48,4,4,cons,noun,wjqk,ears,even
49,4,4,cons,noun,tkwj,leak,even
50,4,4,cons,noun,zmqv,snow,even
51,4,4,cons,noun,tjxk,cups,even
52,4,4,cons,noun,zjpv,flag,even
53,4,4,cons,noun,qvtj,rats,even
54,4,4,cons,noun,vjgk,term,even
55,4,4,cons,noun,bkvj,mask,even
56,4,4,cons,noun,xjtk,bomb,even
57,4,4,cons,noun,xjbk,tide,even
58,4,4,cons,noun,wjgk,clay,even
59,4,4,cons,noun,zjvk,reef,even
60,3,4,noun,cons,guy,jvbk,odd
61,3,4,noun,cons,soy,fkvj,odd
62,3,4,noun,cons,now,tjkk,odd
63,3,4,noun,cons,sum,hkzj,odd
64,3,4,noun,cons,sue,zmjv,odd
65,3,4,noun,cons,tag,wjkv,odd
66,3,4,cons,noun,kvj,sick,odd
67,3,4,cons,noun,gkp,mean,odd
68,3,4,cons,noun,pvt,duct,odd
69,3,4,cons,noun,qkt,line,odd
70,3,4,cons,noun,bkj,void,odd
71,3,4,cons,noun,kvt,tube,odd
72,4,3,noun,cons,cork,xkz,odd
73,4,3,noun,cons,ware,mkt,odd
74,4,3,noun,cons,hats,qks,odd
75,4,3,noun,cons,mass,xjg,odd
76,4,3,noun,cons,bees,vjb,odd
77,4,3,noun,cons,deck,mks,odd
78,4,3,cons,noun,kkzj,bus,odd
79,4,3,cons,noun,xkwj,bay,odd
80,4,3,cons,noun,jktj,tad,odd
81,4,3,cons,noun,sjqk,odd,odd
82,4,3,cons,noun,qvxj,pet,odd
83,4,3,cons,noun,jvgk,tip,odd
84,4,4,noun,cons,eggs,zkwj,odd
85,4,4,noun,cons,drug,vkzm,odd
86,4,4,noun,cons,chef,pvkk,odd
87,4,4,noun,cons,moon,vkjv,odd
88,4,4,noun,cons,hogs,xjqk,odd
89,4,4,noun,cons,mobs,tjzm,odd
90,4,4,noun,cons,slag,pvzk,odd
91,4,4,noun,cons,hero,kkvj,odd
92,4,4,noun,cons,halo,mkqv,odd
93,4,4,noun,cons,body,zkqv,odd
94,4,4,noun,cons,foam,qvmk,odd
95,4,4,noun,cons,poet,bksj,odd
96,4,4,noun,cons,coal,gktj,odd
97,4,4,noun,cons,crib,zjmv,odd
98,4,4,noun,cons,pipe,hkmv,odd
99,4,4,noun,cons,wave,zkxj,odd
100,4,4,noun,cons,plug,qvzk,odd
101,4,4,noun,cons,beam,qkzm,odd
102,4,4,cons,noun,mvzm,fish,odd
103,4,4,cons,noun,sjkv,mile,odd
104,4,4,cons,noun,tkxj,song,odd
105,4,4,cons,noun,gksj,road,odd
106,4,4,cons,noun,mvzk,tone,odd
107,4,4,cons,noun,zkjv,meal,odd
108,4,4,cons,noun,wjqk,lair,odd
109,4,4,cons,noun,tkwj,bush,odd
110,4,4,cons,noun,zmqv,bear,odd
111,4,4,cons,noun,tjxk,gate,odd
112,4,4,cons,noun,zjpv,cake,odd
113,4,4,cons,noun,qvtj,gang,odd
114,4,4,cons,noun,vjgk,bull,odd
115,4,4,cons,noun,bkvj,pack,odd
116,4,4,cons,noun,xjtk,head,odd
117,4,4,cons,noun,xjbk,sage,odd
118,4,4,cons,noun,wjgk,beef,odd
119,4,4,cons,noun,zjvk,deed,odd
