,w1_len,w2_len,w1_type,w2_type,w1,w2,cand0,cand1,cand2,cand3,cand4,cand5,cand6,cand7,subtype
0,3,4,noun,cons,,jvbk,say,hem,exp,nut,mit,mel,mon,ivy,even
1,3,4,noun,cons,,fkvj,fur,tin,doc,net,ted,jet,nod,edn,even
2,3,4,noun,cons,,tjkk,fat,pop,toe,toy,bid,ron,cal,tel,even
3,3,4,noun,cons,,hkzj,pam,saw,vii,rum,gil,sen,fri,vow,even
4,3,4,noun,cons,,zmjv,our,mum,rod,two,jay,app,low,gut,even
5,3,4,noun,cons,,wjkv,lid,arc,rob,pat,gen,bin,jew,cab,even
6,3,4,cons,noun,kvj,,greg,fury,cart,aims,nuts,fair,ribs,seal,even
7,3,4,cons,noun,gkp,,cost,loss,text,plan,test,fire,half,week,even
8,3,4,cons,noun,pvt,,skin,step,paul,rest,look,king,news,arms,even
9,3,4,cons,noun,qkt,,rays,hint,dean,biol,cape,gray,beds,tips,even
10,3,4,cons,noun,bkj,,june,date,site,rule,ones,heat,flow,past,even
11,3,4,cons,noun,kvt,,mike,jean,anna,dust,rose,walk,harm,crew,even
12,4,3,noun,cons,,xkz,cody,logo,cube,vera,gina,n.d.,pulp,iris,even
13,4,3,noun,cons,,mkt,deer,dear,cuba,next,urge,vols,rick,game,even
14,4,3,noun,cons,,qks,bank,seat,deal,play,will,user,ship,none,even
15,4,3,noun,cons,,xjg,pace,wire,this,iraq,long,matt,hold,fund,even
16,4,3,noun,cons,,vjb,born,made,vest,tian,fill,sure,buds,wits,even
17,4,3,noun,cons,,mks,taxi,poor,nest,math,cage,fuck,mill,twin,even
18,4,3,cons,noun,kkzj,,lab,con,pit,tab,mac,roy,tie,sub,even
19,4,3,cons,noun,xkwj,,hug,pie,ken,cop,ups,cir,jar,wit,even
20,4,3,cons,noun,jktj,,eye,may,art,arm,boy,top,bit,fig,even
21,4,3,cons,noun,sjqk,,lou,ofa,mao,kit,del,rim,meg,esp,even
22,4,3,cons,noun,qvxj,,not,hut,fax,par,eva,sip,pin,gym,even
23,4,3,cons,noun,jvgk,,sky,san,ice,tom,bag,eds,key,gun,even
24,4,4,noun,cons,,zkwj,mary,city,base,turn,film,lack,laws,mrs.,even
25,4,4,noun,cons,,vkzm,york,days,name,fact,side,face,room,home,even
26,4,4,noun,cons,,pvkk,spin,bike,meta,exam,wish,pass,andy,flux,even
