ngram_rank,pct,word1,word2,w1_POS,w1_adjdet_rank,w2_noun_rank,rev_word1,rev_word2
79155,2.1360496720439696e-06,the,abbey,,535,8037,,
62163,2.7407240339248784e-06,the,abbey,,535,15094,,
89891,1.8755009699363565e-06,the,abbot,,535,16648,,
45523,3.746424466628644e-06,this,about,,4,25099,,
52153,3.2726604648041428e-06,bad,about,,84,25099,,
41107,4.149878121109315e-06,clear,about,,57,25099,,
79845,2.116073614638346e-06,crazy,about,,480,25099,,
36004,4.72435549217661e-06,good,about,,7,25099,,
32300,5.234094313077787e-06,happy,about,,122,25099,,
50672,3.367327269585593e-06,less,about,,63,25099,,
95660,1.7590575752207935e-06,angry,about,,308,25099,,
42758,3.990607134260887e-06,round,about,,458,25099,,
32567,5.194186987632919e-06,sorry,about,,198,25099,,
27966,6.019816251741235e-06,sure,about,,35,25099,,
41809,4.08167287398536e-06,wrong,about,,96,25099,,
33658,5.039556179141493e-06,the,abuse,,535,1432,,
49936,3.4179392535953573e-06,the,abyss,,535,11620,,
81983,2.0608841573845124e-06,the,ache,,535,8609,,
84274,2.003544810544423e-06,uric,acid,,6068,889,,
70958,2.3929435618549484e-06,folic,acid,,5491,889,,
45467,3.750607793448566e-06,the,acid,,535,889,,
28476,5.9160124162182e-06,fatty,acid,,1781,889,,
38615,4.414663897276506e-06,the,act,,2,563,,
39540,4.3158137656751345e-06,this,act,,4,563,,
88832,1.899866385247252e-06,any,act,,14,563,,
55642,3.0645690686011637e-06,the,act,,2,305,,
90961,1.8526942245754963e-06,first,act,,3,563,,
92640,1.8196844615531985e-06,the,acts,,535,2905,,
91565,1.840708590132122e-06,which,acts,,6,1440,,
99494,1.689033879821797e-06,these,acts,,13,1440,,
32117,5.261057511638741e-06,the,acts,,535,1440,,
50228,3.3964403577328025e-06,young,adult,,34,1284,,
22824,7.307743439880691e-06,the,age,,535,1705,,
55206,3.0905916904681312e-06,the,age,,2,1705,,
64884,2.6234923463610215e-06,the,age,,2,164,,
78995,2.1407346397673514e-06,new,age,,4,164,,
70662,2.403961745984508e-06,own,age,,8,164,,
67940,2.503761412153143e-06,any,age,,14,164,,
29298,5.755218590912841e-06,this,age,,4,164,,
30790,5.488130641313701e-06,early,age,,45,164,,
34790,4.8832144168543385e-06,same,age,,6,164,,
34047,4.986785347672197e-06,young,age,,34,164,,
74352,2.2818838489783006e-06,the,agent,,2,852,,
28122,5.9888578416991565e-06,all,ages,,595,2149,,
48795,3.498882596517877e-06,the,aging,,535,12703,,
59520,2.8623540372672824e-06,the,agony,,535,5717,,
55293,3.085736523152504e-06,first,aid,,3,1325,,
47411,3.600402174355516e-06,the,aims,,535,4962,,
52190,3.270761395669617e-06,open,air,,48,128,,
61653,2.7624110451262305e-06,thin,air,,257,128,,
47708,3.5797721922007395e-06,cold,air,,133,128,,
86821,1.9430791659309872e-06,cool,air,,410,128,,
76262,2.220585122150191e-06,hot,air,,142,128,,
23054,7.236635841815291e-06,the,alarm,,535,3131,,
38361,4.442755787870245e-06,the,album,,535,5032,,
34737,4.8910167244777905e-06,inter,alia,,783,14151,,
35569,4.782653331457238e-06,the,alien,,535,9688,,
24025,6.955940882709808e-06,the,alley,,535,6149,,
62805,2.7123096598932016e-06,the,alpha,,535,5553,,
49089,3.4752338110690664e-06,the,alps,,535,12373,,
47304,3.609243595278992e-06,the,amino,,535,8961,,
71766,2.365774332208645e-06,the,anc,,535,15138,,
75817,2.2348102249125814e-06,the,andes,,535,16977,,
71922,2.360901249146466e-06,the,angel,,535,4474,,
20074,8.252584081546875e-06,the,angel,,535,3091,,
23105,7.219311314899381e-06,the,anger,,535,1054,,
99700,1.6852984466656782e-06,the,angle,,2,1316,,
89074,1.894160219970399e-06,right,angle,,25,1316,,
24746,6.769626076440941e-06,the,anglo,,535,3998,,
49642,3.436777661094921e-06,the,ankle,,535,5354,,
67093,2.537362394811661e-06,the,anode,,535,13203,,
62665,2.7190818120899062e-06,the,anti,,535,5310,,
53303,3.199179030320585e-06,the,aorta,,535,10871,,
38963,4.377417060194631e-06,the,apex,,535,9653,,
39750,4.291752918055625e-06,the,app,,535,5451,,
33579,5.051264119513309e-06,the,apple,,535,3655,,
90351,1.8658981297844153e-06,the,april,,535,536,,
92783,1.8166835740057169e-06,the,arab,,2,4225,,
30075,5.611561177184594e-06,the,arabs,,535,6354,,
49707,3.432970564952594e-06,the,arc,,535,4879,,
43158,3.954032137674716e-06,the,arch,,535,5389,,
71366,2.3792648893623982e-06,same,area,,6,96,,
76140,2.2243205553063097e-06,small,area,,17,96,,
22169,7.513129558354299e-06,the,area,,2,96,,
72304,2.348467721039288e-06,this,area,,9,96,,
76495,2.2135084022620998e-06,large,area,,21,96,,
85693,1.9686718098807038e-06,total,area,,105,96,,
96171,1.748971009911945e-06,urban,area,,223,96,,
67847,2.5074699716894337e-06,local,area,,37,96,,
39639,4.3051270228567896e-06,many,areas,,5,222,,
48382,3.527682159100424e-06,those,areas,,15,222,,
68431,2.485997949446707e-06,large,areas,,21,222,,
31006,5.453436798115503e-06,some,areas,,8,222,,
85001,1.9859246738104042e-06,key,areas,,121,222,,
40742,4.18580815081961e-06,all,areas,,595,222,,
28135,5.985946532884436e-06,the,arena,,535,4778,,
30585,5.520325237867877e-06,the,ark,,535,10829,,
85101,1.9833179326870695e-06,the,ark,,535,15734,,
60662,2.8069495910548235e-06,upper,arm,,234,368,,
79997,2.1121321503968773e-06,other,arm,,0,368,,
25374,6.616123959982299e-06,right,arm,,25,368,,
65614,2.5935013866327577e-06,the,armed,,535,8048,,
87086,1.937050517216196e-06,open,arms,,48,263,,
64640,2.632826450314681e-06,both,arms,,17,263,,
53418,3.192030647446286e-06,the,army,,2,759,,
73222,2.318270730225675e-06,the,army,,2,1208,,
82304,2.0526070824774285e-06,the,aroma,,535,9469,,
25225,6.6503340780235905e-06,the,array,,535,2077,,
67690,2.5140629664206174e-06,wide,array,,116,2077,,
30930,5.4684233201063585e-06,the,arrow,,535,3398,,
97577,1.7227244412130759e-06,fine,art,,127,367,,
57227,2.976611710903486e-06,the,art,,2,367,,
26116,6.435524276863563e-06,the,art,,2,1024,,
34734,4.8914467023950414e-06,the,art,,535,1024,,
29741,5.672277642249759e-06,the,arts,,535,3171,,
61263,2.7802013814524946e-06,fine,arts,,1214,3171,,
98714,1.7025333948488263e-06,fine,arts,,127,2181,,
96936,1.734826528009039e-06,the,asean,,535,9749,,
79696,2.1203286044444766e-06,the,ash,,535,5516,,
40738,4.18589772955237e-06,the,ashes,,535,6555,,
57159,2.980374017679433e-06,the,asia,,535,1122,,
25902,6.4850523582069235e-06,the,asian,,535,3212,,
47558,3.5903424826664954e-06,the,ass,,535,2305,,
21333,7.805774320410051e-06,the,asset,,535,2310,,
45426,3.75476424664866e-06,the,atom,,535,4095,,
47842,3.5697125005117188e-06,the,atoms,,535,2811,,
33219,5.1043663922938195e-06,the,attic,,535,10536,,
49222,3.46575638114299e-06,the,audio,,535,8580,,
30663,5.508850202201238e-06,the,audit,,535,3766,,
93676,1.798095986957883e-06,the,aura,,535,7925,,
71097,2.3881600575255303e-06,the,auto,,535,5920,,
24685,6.785759206211134e-06,the,award,,535,3070,,
66460,2.5630625332406903e-06,the,axe,,535,8556,,
50117,3.4050399160778245e-06,the,axial,,535,17192,,
26554,6.3370593338130615e-06,the,axis,,535,1765,,
32763,5.170018645534097e-06,the,baby,,2,545,,
77105,2.194544584536671e-06,this,baby,,4,545,,
74142,2.288172276018098e-06,new,baby,,4,545,,
47794,3.5742003950230273e-06,the,back,,2,251,,
48137,3.546117462302565e-06,lower,back,,86,251,,
91894,1.8337393647233437e-06,all,back,,595,251,,
78637,2.151349719599488e-06,low,back,,38,251,,
37520,4.5370374041008245e-06,the,backs,,535,5242,,
87237,1.933852556456641e-06,the,bacon,,535,6604,,
43676,3.9044592669649746e-06,the,bags,,535,2904,,
61677,2.761506299925348e-06,the,bait,,535,10106,,
71670,2.368685641023366e-06,the,ball,,2,1090,,
40284,4.2324876284611825e-06,the,balls,,535,3352,,
53119,3.2089789436846e-06,the,ban,,535,7255,,
59868,2.8458446768194957e-06,the,band,,2,1107,,
75384,2.2492413587603212e-06,the,bands,,535,3146,,
58994,2.8888693421644336e-06,the,bank,,2,773,,
77575,2.181349637201028e-06,the,bar,,535,4223,,
84472,1.9984567385236184e-06,the,bar,,2,821,,
53110,3.20982098377255e-06,the,bark,,535,5898,,
67139,2.536188913412497e-06,the,baron,,535,6429,,
24301,6.887072752963424e-06,the,bars,,535,2535,,
63917,2.663516124158478e-06,the,base,,2,571,,
44959,3.7941251418236877e-06,the,bases,,535,3589,,
72286,2.3490768564220604e-06,the,basic,,535,2660,,
35870,4.7431849418028975e-06,the,basin,,535,4779,,
58041,2.9370447846431087e-06,the,basis,,2,303,,
22847,7.299439491353779e-06,daily,basis,,251,303,,
80558,2.0978085110284503e-06,legal,basis,,102,303,,
